RecID,First Name,Surname,Gender,Age,Date of birth,Years of experience,Education Level,Country,Performance,Assembly,Machining,Welding,Additive,Painting,Control,Quality,Planning,Services,Shipping,spoken languages
0440321LNJ,Victoria,Colburn,female,67,23/07/1954,2,upper secondary,Romania,E,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO,"F,NL,GE,IT,"
6552646LMM,Edward,Hodge,male,59,27/04/1962,25,technical,Republic of Congo,A,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,"F,SP,NL,"
0667440ZJW,Terry,Puig,male,44,04/11/1977,18,upper secondary,Estonia,86,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,"EN,F,"
5107523MOE,Betty,Oh,female,43,06/04/1978,17,upper secondary,Bulgaria,B,NO,YES,YES,NO,NO,YES,NO,NO,YES,YES,"NL,"
1539629JBF,John,Drake,male,48,15/11/1973,1,master,United Kingdom,9,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES,"F,SP,"
1626417ZFW,Richard,Summers,male,50,21/06/1971,18,technical,Republic of Cyprus,C,YES,NO,YES,NO,NO,YES,NO,YES,YES,NO,"SP,NL,"
7498207LAI,Robert,Utley,male,22,05/09/1999,0,doctorate,Republic of Cyprus,D,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,"F,SP,IT,"
2473588ZEY,Walter,Wessells,male,61,26/06/1960,11,bachelor,Poland,E,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,"F,GE,IT,"
4052811SGB,Gary,Waller,male,21,08/03/2000,0,technical,Netherlands,37,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,"EN,SP,GE,IT,"
1416681ESQ,Virgil,Torres,male,61,29/06/1960,4,master,Portugal,C,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,"NL,IT,"
1130862VOZ,Mary,Danforth,female,24,29/10/1997,0,master,Australia,A,YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,"EN,F,SP,GE,IT,"
3856874ZXL,Jennifer,Blight,female,42,22/01/1979,6,doctorate,Luxembourg,C,NO,NO,YES,NO,YES,YES,NO,YES,YES,YES,"EN,F,NL,GE,"
5086277SEI,David,Hayes,male,41,29/09/1980,11,technical,Italy,A,NO,YES,YES,NO,YES,NO,YES,YES,YES,YES,"EN,IT,"
8365876PAZ,Susan,Shipman,female,61,04/05/1960,19,doctorate,Romania,C,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,"EN,F,NL,GE,"
7319269PXL,Judy,Barron,f,63,21/01/1958,3,doctorate,Belgium,96,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,"F,SP,"
2192575TAY,Eric,Sacchetti,male,46,17/08/1975,20,upper secondary,Bulgaria,E,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,"EN,SP,NL,IT,"
7079182XRV,Jack,Funderburk,male,50,03/03/1971,15,doctorate,Germany,E,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,"F,SP,NL,IT,"
7288773XGM,Paula,Thomas,female,46,26/05/1975,20,bachelor,Finland,C,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,"GE,IT,"
2804304TNH,Gary,Fletcher,male,44,29/07/1977,1,upper secondary,Republic of Congo,D,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,"EN,F,NL,IT,"
1019597TAQ,Evelyn,Mccaleb,female,43,26/05/1978,7,bachelor,Sweden,D,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,"F,SP,NL,GE,IT,"
0435848LNW,Judith,Gonzalez,female,32,28/12/1988,5,master,Latvia,C,NO,YES,NO,YES,YES,NO,NO,YES,YES,YES,"SP,"
7863583SMY,Debra,Peiffer,female,62,16/12/1958,4,bachelor,Belgium,D,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,"NL,GE,"
3294685DXI,Karen,Hernandez,female,58,02/02/1963,22,upper secondary,Croatia,90,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,"SP,NL,GE,"
2727643XJB,David,Sollie,male,37,17/01/1984,11,upper secondary,Greece,14,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,"F,SP,IT,"
1521338XYP,Armand,Lalinde,male,59,31/03/1962,32,doctorate,Sweden,64,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,"F,SP,GE,IT,"
6180720HTR,Jacquelyn,Zimmerman,female,44,04/08/1977,3,doctorate,Brazil,C,YES,YES,NO,NO,NO,YES,NO,NO,YES,NO,"F,SP,IT,"
6426000VYV,Walter,Lund,male,61,06/01/1960,31,master,Denmark,B,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,"F,GE,"
7457252RRF,Tyler,Abrams,male,27,20/04/1994,0,technical,Finland,32,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,"F,NL,"
4250787AHG,Douglas,Whitcomb,male,55,07/09/1966,26,bachelor,Malta,6,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,"GE,"
1868338QLO,Annie,Johnson,female,28,30/01/1993,2,upper secondary,Portugal,34,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,"EN,F,SP,NL,GE,IT,"
6913134LWC,Scott,Muse,male,21,16/06/2000,0,upper secondary,Austria,E,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,"NL,GE,IT,"
2652736NTZ,Trevor,Perze,male,28,24/04/1993,2,bachelor,Lithuania,C,YES,NO,NO,YES,YES,NO,YES,NO,YES,YES,"F,SP,"
6806834PLE,Linda,Coleman,female,51,15/04/1970,8,master,Republic of Cyprus,C,YES,NO,YES,NO,YES,YES,NO,NO,YES,NO,"EN,F,SP,NL,GE,IT,"
1467704FNX,Michael,Perry,male,37,19/04/1984,11,technical,Finland,58,NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,"EN,SP,GE,IT,"
5287410NTW,Penny,Patrick,female,47,02/04/1974,21,master,Australia,B,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,"EN,F,SP,NL,GE,"
7937945FUK,Rita,Clark,female,47,24/12/1973,21,technical,Croatia,92,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,"SP,IT,"
5813005XZA,Nancy,Osburn,female,45,08/04/1976,18,technical,Slovenia,78,NO,YES,YES,YES,NO,NO,YES,YES,NO,YES,"SP,NL,"
3310906LFJ,Romona,Hines,female,31,14/12/1989,-1,bachelor,USA,B,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,"NL,IT,"
3013039CAP,Juana,Maurer,female,53,19/11/1968,10,upper secondary,Luxembourg,A,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,"EN,NL,GE,"
6214273PHJ,Stephanie,Lennon,female,58,27/10/1963,8,upper secondary,Estonia,A,YES,NO,YES,NO,NO,YES,YES,NO,NO,YES,"F,SP,NL,GE,"
0125428ZBE,Lillian,Shisler,female,27,25/05/1994,1,technical,Malta,10,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,"SP,GE,"
5602663GEI,Sue,Hurt,female,37,24/05/1984,11,doctorate,Czech Republic,30,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,"F,"
2425823ODG,Lauren,Roth,female,40,23/04/1981,14,upper secondary,Denmark,C,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,"SP,NL,"
3155136JPN,Lois,Blumberg,female,63,25/01/1958,22,master,Lithuania,D,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,"F,SP,NL,GE,"
9087610KDM,Walter,Espino,male,65,05/06/1956,9,doctorate,Republic of South Africa,B,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,"EN,F,NL,GE,"
8129771QET,Douglas,Hinsley,male,28,20/03/1993,2,bachelor,Australia,53,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,"EN,F,SP,GE,IT,"
0262818UMX,Timothy,Dominique,male,22,08/12/1998,0,doctorate,Slovakia,4,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,"EN,NL,IT,"
1351603QZI,Jacqueline,Cal,female,63,24/03/1958,0,master,USA,C,YES,NO,YES,NO,NO,NO,NO,YES,YES,NO,"F,SP,GE,IT,"
1092756HRI,Richard,Martin,male,32,19/06/1989,3,master,Germany,D,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,"F,GE,IT,"
1598714AFE,Joyce,Douglas,female,35,16/05/1986,9,upper secondary,France,D,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,"EN,SP,NL,GE,"
6030959CTI,Francis,Davis,male,62,08/12/1958,25,bachelor,Estonia,C,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,"SP,NL,"
9586480NRA,Linda,Ramey,female,23,22/11/1998,0,technical,Denmark,B,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,"SP,NL,"
4492074CHJ,Twyla,Brown,female,33,18/10/1988,3,upper secondary,Republic of South Africa,16,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,"EN,SP,GE,IT,"
9089583COI,Lorie,Robinette,female,44,09/04/1977,4,master,Greece,29,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,"EN,F,GE,"
3544723MXL,Stephanie,Lindholm,female,30,01/05/1991,4,upper secondary,Australia,64,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,"F,NL,GE,"
2090599MNK,Jason,Mckeeman,male,41,23/05/1980,0,upper secondary,Latvia,A,NO,YES,YES,NO,YES,YES,YES,NO,NO,NO,"F,NL,IT,"
2079733LKV,Colleen,Mcbrien,female,59,08/11/1962,33,bachelor,Bulgaria,E,YES,NO,YES,NO,NO,NO,YES,NO,NO,YES,"SP,GE,IT,"
6100072VGJ,Mary,Tada,f,65,27/06/1956,31,bachelor,Latvia,36,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,"F,NL,IT,"
1084696IKR,Nicole,Manning,female,60,06/03/1961,9,master,Portugal,10,NO,YES,YES,NO,NO,YES,YES,NO,NO,NO,"SP,NL,GE,IT,"
8092347CAN,John,Whigham,male,33,12/06/1988,7,bachelor,Romania,E,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,"EN,SP,NL,GE,"
2087410JCR,Reinaldo,Mertens,male,56,14/12/1964,9,doctorate,Spain,E,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,"EN,F,SP,GE,IT,"
0602993MGO,Donald,Compton,male,63,11/11/1958,18,master,Brazil,27,NO,NO,NO,YES,YES,NO,NO,YES,YES,NO,"EN,F,SP,NL,GE,IT,"
9463037HNK,Kristopher,Lester,male,57,08/11/1964,2,master,Ireland,B,YES,NO,NO,YES,YES,YES,NO,NO,YES,YES,"EN,F,SP,NL,"
0130939LJL,Joyce,Ayotte,female,20,28/05/2001,0,upper secondary,Germany,19,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,"EN,SP,NL,GE,IT,"
2412745HKY,Adam,Fuentes,m,19,29/05/2002,0,master,China,E,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,"EN,SP,"
8387843LKX,Donald,Hunt,male,54,11/01/1967,19,master,Republic of Cyprus,B,YES,NO,YES,YES,YES,NO,YES,YES,NO,NO,"SP,NL,"
7086103SKC,Irene,Carothers,female,44,11/08/1977,-1,upper secondary,Luxembourg,A,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,"F,SP,NL,"
7182527AJL,Sheila,Dahl,female,18,05/03/2003,0,bachelor,Romania,79,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,"EN,F,IT,"
3801891BYI,David,Shirley,male,24,17/10/1997,0,technical,Denmark,E,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,"F,SP,NL,GE,"
1078629FGT,Raquel,Petros,female,39,01/02/1982,13,master,Portugal,D,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,"GE,IT,"
1886522VCU,Yvette,Davis,female,64,14/11/1957,33,bachelor,Luxembourg,C,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,"F,NL,"
7944149ODR,Mary,Chan,female,31,09/02/1990,-1,technical,United Kingdom,E,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,"EN,GE,IT,"
9169166HXY,Kent,Welch,male,51,23/12/1969,18,technical,Hungary,54,YES,YES,NO,NO,YES,NO,YES,YES,NO,NO,"EN,NL,GE,"
4234968UNT,Chery,Paolucci,female,27,11/04/1994,1,technical,Brazil,D,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,"EN,F,NL,IT,"
2354867MNK,Judy,Morrison,female,45,03/04/1976,5,upper secondary,Finland,A,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,"SP,NL,GE,"
2675934SGL,Dolly,Young,f,37,04/07/1984,11,bachelor,Czech Republic,D,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,"EN,F,GE,"
4871729CJA,Anna,Wang,female,43,20/02/1978,17,master,Slovenia,2,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,"EN,F,SP,GE,IT,"
2037418JDU,Denise,Kruchten,female,43,25/10/1978,11,bachelor,Slovakia,51,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,"EN,SP,IT,"
5968954XXF,Erica,Larson,female,30,17/01/1991,0,master,Malta,71,YES,YES,NO,YES,NO,YES,NO,YES,YES,NO,"F,SP,NL,GE,IT,"
8726301QXL,Jonathan,Zayas,male,36,26/03/1985,2,doctorate,Hungary,22,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,"EN,F,"
6537069NEO,Jennifer,Styles,female,54,14/03/1967,24,bachelor,Republic of Congo,14,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,"EN,F,NL,GE,"
0105794KSS,Robert,Bossler,male,62,30/12/1958,11,technical,China,A,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,"EN,NL,GE,IT,"
0660427GYR,Kathleen,Jones,female,44,18/09/1977,15,master,Lithuania,D,YES,NO,YES,YES,NO,NO,YES,YES,YES,NO,"NL,GE,IT,"
3598585VHR,Christi,Mack,f,36,11/12/1984,10,master,Hungary,54,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,"EN,SP,NL,GE,IT,"
4953299IVV,Anthony,Brumfield,male,29,24/05/1992,3,upper secondary,United Kingdom,56,YES,YES,NO,YES,YES,NO,YES,NO,YES,YES,"EN,F,SP,IT,"
3159867MQT,Gabriel,Palmer,male,52,31/08/1969,10,technical,Republic of South Africa,89,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,"NL,GE,IT,"
5105523KOJ,Chong,Story,female,26,11/03/1995,0,bachelor,Republic of South Africa,A,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,"F,"
9772800PJH,Juanita,Pena,female,38,05/09/1983,2,bachelor,France,74,NO,YES,NO,NO,NO,YES,YES,NO,YES,YES,"SP,"
5808506TZO,John,Montenegro,male,21,08/02/2000,0,doctorate,Spain,D,YES,NO,NO,NO,YES,NO,NO,YES,YES,NO,"EN,F,SP,GE,IT,"
5626911BRA,Kristen,Spurgeon,female,47,10/05/1974,8,upper secondary,Australia,14,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES,"F,SP,NL,"
3736976TZK,Brendan,Mccan,male,31,21/09/1990,5,doctorate,Austria,C,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,"F,NL,IT,"
4303204SHG,Eleanora,Edwards,f,38,08/12/1982,10,doctorate,Bulgaria,89,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,"NL,IT,"
3360406UNK,Gwen,Horton,female,67,21/05/1954,11,doctorate,Spain,D,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,"GE,"
5382003OGN,Dorothy,Quigley,female,60,12/06/1961,10,doctorate,Czech Republic,29,NO,NO,NO,YES,NO,NO,YES,YES,YES,NO,"EN,F,GE,"
3892615YRY,Monica,Hager,female,33,31/12/1987,7,upper secondary,Netherlands,17,NO,NO,YES,NO,YES,YES,YES,NO,NO,YES,"EN,F,NL,GE,"
0002717MZY,John,Lawrence,male,48,15/09/1973,1,technical,Australia,C,YES,NO,YES,NO,NO,YES,NO,YES,YES,YES,"EN,SP,NL,"
6153062RHW,James,Yoshina,male,62,16/10/1959,29,technical,Germany,30,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,"F,NL,"
2609125WCL,Norma,Scoville,female,27,09/08/1994,1,bachelor,Greece,75,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,"EN,F,SP,NL,IT,"
0360464PBN,Junior,Gonzalez,male,40,22/05/1981,14,bachelor,Belgium,C,NO,NO,YES,NO,YES,NO,YES,YES,YES,NO,"SP,GE,"
1127441IXZ,Sheri,Johnson,female,22,04/05/1999,0,bachelor,Malta,E,YES,NO,YES,YES,NO,NO,YES,NO,YES,YES,"EN,F,SP,GE,IT,"
5666401TYT,Penni,Mackey,female,34,09/10/1987,8,technical,Slovakia,0,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,"F,SP,IT,"
6809622UHO,Dewey,Ma,male,45,08/10/1976,5,doctorate,Denmark,D,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,"SP,GE,IT,"
6779189HCY,Rachel,Warner,female,42,22/07/1979,16,technical,Croatia,9,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,"EN,GE,"
9477660WPT,Rachel,Lona,female,56,25/12/1964,2,bachelor,Romania,B,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,"EN,F,SP,NL,GE,IT,"
4607367DYM,Barbara,Lewis,female,33,01/11/1988,7,technical,France,0,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,"EN,F,IT,"
9439835RHU,Charles,Kunert,male,56,25/08/1965,14,upper secondary,Slovakia,66,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,"EN,F,NL,GE,"
9936387VMI,Robert,Beck,male,58,21/04/1963,18,technical,Republic of South Africa,C,NO,NO,YES,YES,NO,NO,YES,YES,YES,YES,"EN,F,SP,NL,GE,IT,"
1602683GFJ,Stephen,Vice,male,63,17/05/1958,2,doctorate,Belgium,91,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,"F,SP,"
1140259UFR,Katherine,Williamson,female,46,05/10/1975,20,doctorate,Brazil,D,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,"F,NL,GE,IT,"
3671851GBQ,Rusty,Stevens,male,56,26/06/1965,14,master,Italy,E,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,"EN,F,SP,GE,IT,"
3012425PDI,Alfred,Keegan,male,27,06/01/1994,1,upper secondary,Italy,97,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES,"F,SP,"
0080435ESL,Bobby,Longsworth,male,42,16/09/1979,16,bachelor,USA,A,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,"EN,F,NL,IT,"
1037074GDJ,Richard,Gingras,male,66,13/06/1955,-1,upper secondary,Germany,C,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,"GE,IT,"
8708413IDL,Deborah,Spigner,female,26,21/10/1995,0,upper secondary,USA,61,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,"F,GE,IT,"
6267279GYG,Cindy,Morris,female,34,13/03/1987,5,bachelor,Finland,42,YES,NO,NO,NO,NO,YES,NO,YES,YES,YES,"F,GE,IT,"
5971130YEG,Nedra,Johnson,female,57,02/01/1964,20,bachelor,Republic of South Africa,A,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,"EN,F,NL,IT,"
6798310UTS,Perry,Iles,male,40,05/01/1981,12,bachelor,Estonia,A,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,"F,SP,NL,IT,"
9935519JWZ,Amy,Morissette,female,52,24/02/1969,13,master,United Kingdom,30,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,"EN,F,"
1245933YWD,Jesus,Coste,male,32,22/05/1989,-1,technical,Republic of Cyprus,8,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,"EN,F,GE,"
2248253VQA,Carrie,Mcmullen,female,55,14/03/1966,5,master,Belgium,E,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,"F,SP,NL,IT,"
8574803BDQ,Lena,Martin,female,65,19/09/1956,11,upper secondary,Austria,76,NO,NO,YES,NO,YES,YES,NO,YES,YES,YES,"SP,NL,GE,"
4519759VPE,Laura,Hemphill,female,27,08/09/1994,1,upper secondary,USA,A,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,"NL,IT,"
4650013VPB,John,Metz,male,37,23/06/1984,11,bachelor,United Kingdom,C,YES,NO,YES,NO,NO,YES,NO,YES,YES,NO,"SP,IT,"
1027764VKU,Janice,Martin,female,26,06/04/1995,0,master,Croatia,4,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"F,GE,"
0129391LEQ,Dorothy,Williams,female,54,26/06/1967,10,master,Italy,D,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,"F,SP,IT,"
2394597IEK,Cathy,Jones,female,63,11/11/1958,2,upper secondary,Australia,E,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,"NL,IT,"
7109170FFA,Nancy,Gibson,female,63,01/11/1958,8,upper secondary,Finland,6,NO,YES,YES,NO,YES,NO,YES,YES,NO,NO,"SP,NL,IT,"
8370432TVL,Bonnie,Alvarado,female,37,29/05/1984,11,master,Poland,A,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,"F,NL,"
6864220URK,Robert,Cade,male,63,17/12/1957,33,master,Malta,A,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,"EN,SP,NL,"
7816997GNM,Amy,Jamison,female,45,02/05/1976,7,bachelor,Spain,E,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,"EN,F,SP,GE,IT,"
9589766IAH,Jean,Haywood,female,22,15/08/1999,0,bachelor,China,56,YES,NO,NO,NO,NO,YES,NO,YES,YES,YES,"EN,SP,NL,GE,"
0005634MAK,Anna,Kraft,female,53,14/07/1968,15,upper secondary,Australia,49,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,"IT,"
6526030TMT,Christian,Harrison,male,22,04/06/1999,0,doctorate,Italy,D,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,"F,GE,IT,"
4171764IQU,Brandon,Kimball,male,36,22/07/1985,10,upper secondary,Netherlands,34,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,"EN,SP,NL,GE,"
6663798SQN,James,Romero,male,42,24/11/1979,16,bachelor,Hungary,20,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,"F,SP,GE,IT,"
6372123MDV,John,Rimson,male,60,21/11/1961,14,upper secondary,Poland,E,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,"EN,F,SP,NL,"
6885139OLV,Michael,Ling,male,49,19/02/1972,23,master,Slovenia,A,NO,NO,NO,NO,YES,YES,YES,NO,YES,YES,"NL,IT,"
1992078XBY,Ione,Leblanc,female,42,08/05/1979,16,upper secondary,Denmark,98,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,"SP,NL,GE,"
8736392YTU,William,Keller,m,37,07/10/1984,11,bachelor,Romania,E,YES,NO,YES,YES,YES,NO,YES,YES,NO,NO,"EN,IT,"
0596465CTS,Dean,Goodwin,m,39,27/03/1982,9,doctorate,Greece,3,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO,"F,NL,GE,IT,"
1591973OVZ,Cathy,Walker,female,47,08/03/1974,21,doctorate,Latvia,A,YES,NO,NO,YES,NO,YES,NO,NO,YES,YES,"EN,F,GE,IT,"
4463857DZA,Lucy,Borne,female,55,20/09/1966,-1,upper secondary,Republic of Cyprus,55,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,"EN,F,SP,NL,GE,IT,"
8113845YST,Edward,Babel,male,46,09/11/1975,20,doctorate,Greece,100,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,"NL,"
5402056IFP,James,Smart,male,45,05/03/1976,16,bachelor,Romania,100,YES,YES,YES,NO,NO,NO,YES,NO,NO,YES,"EN,F,SP,IT,"
2966868YYM,Juan,Anthon,male,36,18/02/1985,0,bachelor,Spain,D,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,"EN,F,SP,NL,"
3068777BHN,Lori,Milton,female,65,02/10/1956,29,master,Slovenia,D,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,"EN,SP,"
5902130BUR,Emily,Mulherin,female,46,01/09/1975,20,master,Republic of Congo,E,NO,NO,NO,YES,NO,NO,NO,YES,YES,YES,"F,IT,"
9846071SOA,Kevin,Patel,male,24,11/11/1997,0,bachelor,Denmark,E,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,"F,"
6604529PSV,Christina,Smith,female,41,19/09/1980,15,master,Denmark,E,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,"IT,"
1922111WVN,Edward,Woods,male,60,27/03/1961,32,bachelor,Portugal,26,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,"F,NL,GE,"
8376445RNF,James,Kooser,male,30,01/10/1991,1,bachelor,Poland,64,YES,NO,NO,NO,NO,YES,NO,YES,YES,YES,"SP,"
2780748FVR,Mallie,Bison,female,30,27/05/1991,4,bachelor,Austria,B,NO,NO,NO,YES,YES,YES,NO,YES,YES,NO,"EN,F,SP,IT,"
7041052RWN,Linda,Miller,female,33,18/06/1988,7,technical,Australia,42,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,"SP,NL,GE,IT,"
4123972WJO,Nancy,Collier,female,59,05/09/1962,16,doctorate,France,E,YES,YES,NO,NO,NO,YES,NO,NO,YES,YES,"F,SP,"
9028352CEN,Nancy,Saldana,female,22,08/06/1999,0,bachelor,Austria,C,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,
3500797FRA,Mike,Sanchez,male,18,04/08/2003,0,bachelor,Bulgaria,32,YES,NO,YES,YES,NO,YES,YES,NO,NO,NO,"EN,SP,"
4126556RIB,Julianne,Ader,female,32,27/10/1989,6,bachelor,Luxembourg,29,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,"F,NL,GE,IT,"
5808652BRQ,Joseph,Mitchell,male,40,18/06/1981,14,master,Brazil,100,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,"F,GE,IT,"
9168571PGV,Jose,Walters,male,25,30/05/1996,0,doctorate,Bulgaria,D,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,"EN,F,GE,IT,"
8746270ODH,Michael,Wakefield,male,25,06/09/1996,0,upper secondary,Slovenia,0,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,"EN,SP,GE,IT,"
3417118HJN,Veronica,Bellamy,female,21,18/11/2000,0,bachelor,Italy,49,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,"EN,GE,IT,"
1759631KHS,Steven,Traylor,male,57,02/11/1964,19,technical,USA,43,NO,NO,YES,NO,NO,YES,NO,YES,YES,YES,
5097173DTE,Michael,Arguello,male,34,17/07/1987,8,doctorate,Slovakia,C,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,"F,SP,NL,"
7631335LZV,Karen,Borysewicz,female,66,22/06/1955,6,technical,Slovenia,56,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,"F,SP,NL,GE,"
7790743MJS,Sarah,Francis,female,53,28/07/1968,19,technical,Netherlands,1,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,"IT,"
1383613AGH,Kristin,Phillips,female,46,04/01/1975,20,bachelor,Romania,94,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,"EN,GE,"
6943219PKB,June,Miles,female,32,21/05/1989,6,upper secondary,Republic of Cyprus,39,NO,YES,NO,NO,NO,YES,NO,YES,YES,NO,"F,GE,"
6124103IZP,Paula,Allen,female,48,22/08/1973,-1,technical,Lithuania,C,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,"NL,GE,"
